id,name,brand,category,price,rating,stock,description,battery_hours,battery_days,noise_cancellation,water_resistance,connectivity,microphone_count,charging_type,weight_grams,fast_charging,spatial_audio,gps,display_type,display_size_inches,heart_rate_monitor,spo2_monitor,sleep_tracking,step_tracking,calling,layout,keyboard_type,wireless,switch_type,backlit,rgb,hot_swappable,key_count
SW006,TrackMate Pro,TrackMate,Smartwatch,2999,4.2,35,TrackMate Pro smartwatch for fitness and everyday use.,,14,,5ATM,Bluetooth 5.2,,,38,,,True,LCD,1.4,True,True,True,True,True,,,,,,,,
SW007,Apex Watch Ultra,Apex,Smartwatch,6499,4.7,9,Apex Watch Ultra smartwatch for fitness and everyday use.,,4,,10ATM,Bluetooth 5.4,,,58,,,True,AMOLED,1.5,True,True,True,True,True,,,,,,,,
SW008,LifeSync 2,LifeSync,Smartwatch,2699,4.1,41,LifeSync 2 smartwatch for fitness and everyday use.,,9,,IP68,Bluetooth 5.2,,,37,,,False,AMOLED,1.39,True,True,True,True,False,,,,,,,,
SW009,Glide Watch,Glide,Smartwatch,4199,4.5,15,Glide Watch smartwatch for fitness and everyday use.,,6,,5ATM,Bluetooth 5.3,,,40,,,True,AMOLED,1.43,True,True,True,True,True,,,,,,,,
SW010,CoreFit Watch,CoreFit,Smartwatch,2499,4.0,52,CoreFit Watch smartwatch for fitness and everyday use.,,11,,IP68,Bluetooth 5.1,,,36,,,False,LCD,1.32,True,False,True,True,False,,,,,,,,
SW011,VitaWatch Pro,Vita,Smartwatch,4999,4.5,17,VitaWatch Pro smartwatch for fitness and everyday use.,,7,,5ATM,Bluetooth 5.3,,,44,,,True,AMOLED,1.45,True,True,True,True,True,,,,,,,,
SW012,MoveX Sport,MoveX,Smartwatch,2899,4.2,33,MoveX Sport smartwatch for fitness and everyday use.,,10,,5ATM,Bluetooth 5.2,,,43,,,True,LCD,1.4,True,True,True,True,False,,,,,,,,
SW013,Luma Watch,Luma,Smartwatch,3599,4.3,24,Luma Watch smartwatch for fitness and everyday use.,,8,,IP68,Bluetooth 5.3,,,40,,,True,AMOLED,1.41,True,True,True,True,True,,,,,,,,
SW014,Enduro S,Enduro,Smartwatch,3999,4.4,20,Enduro S smartwatch for fitness and everyday use.,,15,,10ATM,Bluetooth 5.2,,,49,,,True,LCD,1.4,True,True,True,True,True,,,,,,,,
SW015,SmartLife Mini,SmartLife,Smartwatch,1999,3.9,60,SmartLife Mini smartwatch for fitness and everyday use.,,6,,IP68,Bluetooth 5.1,,,31,,,False,LCD,1.28,True,False,True,True,False,,,,,,,,
KB001,KeyForge TKL,KeyForge,Keyboard,2799,4.5,20,"KeyForge TKL keyboard for work, coding, and everyday use.",200,,,,Bluetooth 5.2,,,780,,,,,,,,,,,TKL,Mechanical,True,Red,True,True,True,87
KB002,TypeFlow 75,TypeFlow,Keyboard,2499,4.3,28,"TypeFlow 75 keyboard for work, coding, and everyday use.",180,,,,Bluetooth 5.1,,,720,,,,,,,,,,,75%,Mechanical,True,Brown,True,True,True,82
KB003,OfficeKeys Pro,OfficeKeys,Keyboard,1699,4.2,45,"OfficeKeys Pro keyboard for work, coding, and everyday use.",300,,,,Bluetooth 5.0,,,680,,,,,,,,,,,Full-size,Membrane,True,N/A,True,False,False,104
KB004,RGBStrike 87,RGBStrike,Keyboard,2999,4.4,17,"RGBStrike 87 keyboard for work, coding, and everyday use.",150,,,,USB + Bluetooth,,,850,,,,,,,,,,,TKL,Mechanical,True,Red,True,True,False,87
KB005,MacType Air,MacType,Keyboard,2199,4.1,32,"MacType Air keyboard for work, coding, and everyday use.",240,,,,Bluetooth 5.2,,,560,,,,,,,,,,,75%,Membrane,True,N/A,True,False,False,84
KB006,SwitchPro 100,SwitchPro,Keyboard,3499,4.6,13,"SwitchPro 100 keyboard for work, coding, and everyday use.",220,,,,Bluetooth 5.3,,,910,,,,,,,,,,,96%,Mechanical,True,Red,True,True,True,100
KB007,CompactClick,CompactClick,Keyboard,1399,4.0,55,"CompactClick keyboard for work, coding, and everyday use.",160,,,,Bluetooth 5.1,,,490,,,,,,,,,,,65%,Membrane,True,N/A,True,False,False,68
KB008,ProBoard X,ProBoard,Keyboard,2699,4.5,19,"ProBoard X keyboard for work, coding, and everyday use.",200,,,,Bluetooth 5.2,,,810,,,,,,,,,,,TKL,Mechanical,True,Brown,True,True,True,87
KB009,SilentKeys,SilentKeys,Keyboard,1899,4.2,38,"SilentKeys keyboard for work, coding, and everyday use.",280,,,,Bluetooth 5.2,,,610,,,,,,,,,,,Full-size,Membrane,True,N/A,True,False,False,104
KB010,GameCore 60,GameCore,Keyboard,2399,4.3,25,"GameCore 60 keyboard for work, coding, and everyday use.",130,,,,USB + Bluetooth,,,690,,,,,,,,,,,60%,Mechanical,True,Red,True,True,False,61
KB011,FlexType 98,FlexType,Keyboard,3199,4.4,16,"FlexType 98 keyboard for work, coding, and everyday use.",210,,,,Bluetooth 5.3,,,870,,,,,,,,,,,98%,Mechanical,True,Brown,True,True,True,98
KB012,WorkMate Wireless,WorkMate,Keyboard,1299,4.0,64,"WorkMate Wireless keyboard for work, coding, and everyday use.",260,,,,Bluetooth 5.0,,,650,,,,,,,,,,,Full-size,Membrane,True,N/A,False,False,False,104
KB013,NeonKeys Pro,NeonKeys,Keyboard,2899,4.5,14,"NeonKeys Pro keyboard for work, coding, and everyday use.",190,,,,Bluetooth 5.2,,,820,,,,,,,,,,,TKL,Mechanical,True,Red,True,True,True,87
KB014,TravelType Mini,TravelType,Keyboard,1599,4.1,43,"TravelType Mini keyboard for work, coding, and everyday use.",170,,,,Bluetooth 5.1,,,410,,,,,,,,,,,65%,Membrane,True,N/A,True,False,False,68
KB015,MechCraft 75,MechCraft,Keyboard,3299,4.6,11,"MechCraft 75 keyboard for work, coding, and everyday use.",200,,,,Bluetooth 5.3,,,760,,,,,,,,,,,75%,Mechanical,True,Red,True,True,True,82
